service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"CA_GRAND_PERIGUEUX:Timetable:13",1,1,1,0,1,0,0,20251222,20260102
"CA_GRAND_PERIGUEUX:Timetable:8",1,0,0,0,1,0,0,20260105,20260109
"CA_GRAND_PERIGUEUX:Timetable:7",1,1,1,1,1,0,0,20260105,20260109
"CA_GRAND_PERIGUEUX:Timetable:12",1,1,1,1,1,1,1,20251222,20260220
"CA_GRAND_PERIGUEUX:Timetable:11",1,1,1,1,1,1,1,20251222,20260220
"CA_GRAND_PERIGUEUX:Timetable:6",1,1,0,1,1,0,0,20260105,20260227
"CA_GRAND_PERIGUEUX:Timetable:10",0,0,1,0,0,0,0,20260107,20260225
"CA_GRAND_PERIGUEUX:Timetable:5",1,1,1,1,1,0,0,20260105,20260227
"CA_GRAND_PERIGUEUX:Timetable:4",1,1,1,1,1,1,0,20251222,20260228
"CA_GRAND_PERIGUEUX:Timetable:17",0,0,1,0,0,0,0,20251224,20251231
"CA_GRAND_PERIGUEUX:Timetable:16",1,1,1,1,1,0,0,20260209,20260220
"CA_GRAND_PERIGUEUX:Timetable:3",0,0,0,0,0,1,0,20251227,20260110
"CA_GRAND_PERIGUEUX:Timetable:2",0,0,0,0,0,1,0,20251227,20260228
"CA_GRAND_PERIGUEUX:Timetable:15",0,0,0,0,0,1,0,20260117,20260228
"CA_GRAND_PERIGUEUX:Timetable:14",1,1,1,1,1,0,0,20260112,20260227
"CA_GRAND_PERIGUEUX:Timetable:1",0,0,0,0,0,0,1,20260104,20260301
"CA_GRAND_PERIGUEUX:Timetable:9",1,1,1,1,1,0,0,20260106,20260227
